Nom,Auteurs,"Sujets, Mots-clés",Mis à jour,Création,Licence,Début,Fin,Lignes,Sites,Type,Etat,Couverture,Couverture Geom,Échelle,Langue,Description
Roscio 2011,Laurie Cormier - Mafalda Roscio,"âge du bronze, funéraire, bronze final, typologie",2016-11-30 22:53,2016-11-30 22:45,CC-BY-NC,-1350,-1051,5720,1558,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[2.99331,46.51257],[2.99331,49.91309],[10.18201,49.91309],[10.18201,46.51257],[2.99331,46.51257]]]}",Site,fr,"Base de données issue d'une thèse de doctorat portant sur le début du Bronze final entre le Bassin parisien et le Jura souabe. Présentation par sites et par ensembles funéraires, avec une description des ensembles dans les commentaires."
Tumulus Haguenau Brumath,Rémy Wassong,Tumulus Haguenau Brumath,2016-11-29 18:25,2016-11-29 17:45,CC-BY-NC,-2200,449,765,764,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.67785962614767,48.6947402809082],[7.67785962614767,48.9029166687294],[8.17847988395971,48.9029166687294],[8.17847988395971,48.6947402809082],[7.67785962614767,48.6947402809082]]]}",Objet,fr,"Base de données du mémoire de master ""Organisation spatiale des nécropoles tumulaires de la forêt de Haguenau"" soutenu à Strasbourg en Juin 2012. Elle répertorie l'ensemble des tertres funéraires conservés dans les forêts de Haguenau, Betschdorf, Hatten, Niederroedern, Seltz et Brumath ainsi que les tertres de Hügelsheim, Iffezheim et Söllingen. Les relevés des tumuli des nécropoles de Kurzgelaend, Schirrheinerweg et Brumath ont été effectué par le Pôle Archéologique Interdépartemental Rhénan (F. Abert, 2009 et F. Abert, P. Rieth 2010). Les numéros ""SITE_ID_SOURCE"" correspondent aux numéros de prospection des tertres dans le catalogue du mémoire (Wassong, 2012). Les éléments exceptionnels ont été défini en fonction de la masse volumique conservé du tumulus (plus de 900m3) ou du mobilier découvert lors des fouilles (importations méditerranéennes)."
Hydromed_Gaule méridionale,Luca Banchetti - Sophie BOUFFIER,"Hydromed, Gaule méridionale, aménagements hydrauliques, évacuation",2016-11-15 10:08,2016-10-04 09:52,CC-BY-NC,-600,14,174,173,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[3.115205,43.004167],[3.115205,43.949631],[6.250879,43.949631],[6.250879,43.004167],[3.115205,43.004167]]]}",Site,fr,Base de données sur les aménagements hydrauliques en Gaule méridionale durant le premier millénaire av. J.-C. dans le cadre du projet HYDROMED.
Hydromed_Espagne,Luca Banchetti - Sophie BOUFFIER,"HYDROMED, Espagne, aménagements hydrauliques, citerne, canalisation",2016-11-15 10:00,2016-10-06 17:38,CC-BY-NC,-1000,14,130,128,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[-6.284502,36.52261],[-6.284502,42.184979],[4.115813,42.184979],[4.115813,36.52261],[-6.284502,36.52261]]]}",Site,fr,Base de données rassemblant les aménagements hydrauliques du premier millénaire av. J.-C. en Espagne dans le cadre du projet HYDROMED.
Schmid_Merkl_2012,Lizzie Scholtus - Christiane Schmid-Merkl,"Vallée du Rhin, dépôts",2016-11-06 00:29,2016-11-06 00:18,CC-BY-NC-SA,-6500,1789,1917,948,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.503664,47.561152],[7.503664,50.038399],[8.522589,50.038399],[8.522589,47.561152],[7.503664,47.561152]]]}",Site,fr,Inventaire des dépôts dans la vallée du Rhin
Schmidt_2012_Referenzgebiet,Lizzie Scholtus - Christiane Schmid-Merkl,Archéologie vallée du rhin,2016-10-29 00:42,2016-10-19 12:43,CC-BY-NC-SA,-6500,799,2598,1757,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.432458,47.979405],[7.432458,49.213625],[8.515953,49.213625],[8.515953,47.979405],[7.432458,47.979405]]]}",Site,fr,Sites d'habitats et funéraires dans la vallée du Rhin
Languedoc Protohistorique,Fabienne Olmer - Réjane Roure - Loup Bernard,Habitat Languedoc âge du Fer Protohistoire amphore D1,2016-10-25 21:19,2016-10-25 21:01,CC-BY-NC,-300,-1,200,199,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[2.73037978974725,43.045728913173],[2.73037978974725,44.1564552795145],[4.68081941875472,44.1564552795145],[4.68081941875472,43.045728913173],[2.73037978974725,43.045728913173]]]}",Site,fr,"Base de F. Olmer, R. Roure, R. Bohbot 2012"
Hoehensiedlungen BdW,Loup Bernard,"Sites de Hauteur, enceinte, rempart, hallsatt, La Tène, Fürstensitz, Oppidum",2016-10-07 15:45,2016-07-04 19:00,CC-BY-NC,-800,-26,122,110,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.516667,47.066666],[7.516667,49.55],[10.466666,49.55],[10.466666,47.066666],[7.516667,47.066666]]]}",Site,de,"Sites perchés fortifiés de l'âge du Fer dans le Bade-Wurtemberg, thèse Loup BERNARD 2003
La base de données originale avant mise au format lexical ArkeoGIS se trouve à cette adresse :
Hoehensiedlungen BdW (BDD Access) : https://www.nakala.fr/data/11280/c8776da6"
Atlas des Sites du Proche-Orient (ASPRO),Jean-Philippe Droux,"Atlas des Sites du Proche-Orient (ASPRO), Epipaléolithique, Néolithique, Chalcolithique",2016-10-05 12:38,2016-10-04 19:24,CC-BY-NC-SA,-16300,-4201,3238,1783,Recherche,En cours,Monde,"{""type"":""Polygon"",""coordinates"":[[[29.783109,24.542962],[29.783109,41.221302],[59.83282,41.221302],[59.83282,24.542962],[29.783109,24.542962]]]}",Site,fr,L’Atlas des Sites du Proche-Orient (ASPRO) se présente comme un répertoire analytique de près de 2 000 sites occupés entre environ 16000 et 4200  av. J.-C. sur un territoire qui s’étend du Sinaï au Turkménistan et de l’Anatolie au golfe Arabo-Persique.
Hydromed_ Monde grec oriental,Luca Banchetti - Sophie BOUFFIER,"Hydromed, monde grec oriental, aménagements hydrauliques, puits, citerne, latrine",2016-09-30 11:22,2016-09-30 11:22,CC-BY-NC,-500,14,114,113,Inventaire,En cours,Continent,"{""type"":""Polygon"",""coordinates"":[[[19.471346,37.399848],[19.471346,40.721763],[25.268875,40.721763],[25.268875,37.399848],[19.471346,37.399848]]]}",Site,fr,Base de données sur les aménagements hydraulique du monde grec oriental dans le cadre du projet Hydromed.
Hydromed_Sicile,Luca Banchetti - Sophie BOUFFIER,"HYDROMED , Sicile",2016-09-30 10:07,2016-09-24 14:33,CC-BY-NC,-800,14,306,304,Inventaire,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[12.79194,36.92574],[12.79194,37.98225],[15.27628,37.98225],[15.27628,36.92574],[12.79194,36.92574]]]}",Objet,fr,Base de données recensant les aménagements hydrauliques de Sicile dans le cadre du projet Hydromed dirigé par Sophie Bouffier.
Murgers,Loup Bernard - Dominique Schwartz,murgers epiérrements paysage,2016-09-23 19:04,2016-09-23 18:51,CC-BY-NC,indéterminé,indéterminé,38,37,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.1025,47.495],[7.1025,48.86139],[7.65194,48.86139],[7.65194,47.495],[7.1025,47.495]]]}",Bassin versant,fr,Inventaire des murgers/Steinrudel d'Alsace par D. Schwartz. Chaque point correspond à un ensemble de structures à l'échelle de la colline.
HYDRΩMED Hydraulique en Sicile,Loup Bernard - Sophie BOUFFIER,Sicile HYDRΩMED aménagements hydrauliques eau puits citerne acqueduc,2016-09-23 18:34,2016-07-04 18:10,CC-BY-NC,-801,14,309,295,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[12.79194,36.92561],[12.79194,37.98225],[15.27628,37.98225],[15.27628,36.92561],[12.79194,36.92561]]]}",Site,fr,Base de travail de l'ANR HYDRΩMED
Musée Saint-Dié et Vosges,Loup Bernard - Lizzie Scholtus,Inventaire Musée St Dié instrumentum petits objets,2016-09-23 18:31,2016-07-04 17:33,CC-BY-NC,-6500,799,78,77,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[6.5827,48.20709],[6.5827,48.38663],[7.04833,48.38663],[7.04833,48.20709],[6.5827,48.20709]]]}",Objet,fr,inventaire partiel des petits objets du musée de St-Dié
Habitats_Ruraux_HAD2-LTC1,Charlène Morel - Muriel Roth-Zehner,"Alsace, Habitats ruraux, Age du Fer",2016-09-23 17:34,2016-09-23 16:59,CC-BY-NC,-620,-201,289,170,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.266667,47.633333],[7.266667,48.9],[8.016667,48.9],[8.016667,47.633333],[7.266667,47.633333]]]}",Site,fr,"habitats ruraux du Hallstatt D2 à La Tène C1
Base de Muriel Roth-Zehner"
Habitats_BF3-Aug,Charlène Morel - Muriel Roth-Zehner,"Alsace, Habitats, Age du Fer, Augustéen",2016-09-23 12:52,2016-09-23 12:42,CC-BY-NC-SA,-900,36,527,476,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.083333,47.616667],[7.083333,49],[8.1245613098,49],[8.1245613098,47.616667],[7.083333,47.616667]]]}",Site,fr,Muriel Roth-Zehner's database displaying the settlements in the Rhine valley between the late Bronze age and the augustean period.
Habitats_LTC2-Augustéen,Charlène Morel - Muriel Roth-Zehner,"Habitats, Alsace, La Tène, Age du Fer, Période augustéenne",2016-09-22 22:41,2016-09-22 22:41,CC-BY-NC-SA,-200,36,70,47,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.3,47.666667],[7.3,48.9],[8.1,48.9],[8.1,47.666667],[7.3,47.666667]]]}",Site,fr,Base de données de Muriel Roth-Zehner au sujet des habitats en plaine du Rhin de La Tène C2 à la période augustéenne.
Alsace archéologique,Jean-Philippe Droux - Loup Bernard,Alsace patrimoine visitable,2016-09-22 18:36,2016-09-22 18:24,CC-BY-NC-SA,-1350,1789,64,28,Ouvrage,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[6.7963,47.44901],[6.7963,49.13203],[8.07437,49.13203],[8.07437,47.44901],[6.7963,47.44901]]]}",Site,fr,"Transcription de l'ouvrage L'Archéologie en Alsace Association pour le promotion de la recherche archéologique en Alsace : sous la dir. de Geneviève Daud, Monique Voegtlin, Christian Jeunesse, Christian Voegtlin Association pour la promotion de la recherche archéologique en Alsace, 1991 183 p.- 4 p. de pl. en coul. , ill. , 30 cm. Cahiers de l'Association pour la promotion de la recherche archéologique en Alsace"
Glas_Wagner_2006,Loup Bernard - Heiko Wagner,"verre, La Tène, bracelet, Schmuck, Glas, Baden-Württemberg",2016-09-22 17:18,2016-09-13 00:50,CC-BY-NC-SA,-800,449,220,145,Ouvrage,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[5.848362,47.378187],[5.848362,50.5235337],[10.304581,50.5235337],[10.304581,47.378187],[5.848362,47.378187]]]}",Site,fr,"Base issue de l'ouvrage de Heiko Wagner : Glasschmuck der Mittel- und Spätlatènezeit am Oberrhein und den angrenzenden Gebieten (= Ausgrabungen und Forschungen. Bd. 1). Greiner, Remshalden 2006, ISBN 3-935383-02-9 (Zugleich: Freiburg (Breisgau), Universität, Dissertation, 1998)."
Schneider-2013,Charlène Morel - Nathalie Schneider,"Sols, Analyses, Formations superficielles",2016-09-21 20:04,2016-09-21 20:04,CC-BY-NC-SA,-6500,2016,120,108,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.234722,47.57611],[7.234722,49.038333],[8.107778,49.038333],[8.107778,47.57611],[7.234722,47.57611]]]}",Site,fr,Base de travail de N. Schneider listant logs et analyses réalisées dans le cadre de l'INRAP et de l'UMR LIVE
ALISA,Charlène Morel - Martine Trautmann,"Analyses, Sols, Formations Superficielles",2016-09-21 20:00,2016-09-21 20:00,CC-BY-NC-SA,indéterminé,indéterminé,438,132,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[5.7488862,47.23722222],[5.7488862,49.48582963],[8.17722222,49.48582963],[8.17722222,47.23722222],[5.7488862,47.23722222]]]}",Site,fr,"La base de données, sols et formations superficielles, a été créée pour le stockage des résultats d'analyses effectuées au laboratoire d’analyse des sols de l'EOST UMS830 CNRS/UdS .
Trois pôles sont représentés : les analyses physico-chimiques - pédologie, les analyses de caractérisations hydrodynamiques et les analyses granulométriques.

Base créée par M. Trautmann"
CMOREL_BDD_Master_v4,Charlène Morel,cf,2016-09-20 12:11,2016-09-20 12:11,CC-BY-NC,-6500,1491,417,160,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[7.4908877,48.3601034019],[7.4908877,48.44317609],[7.805708724,48.44317609],[7.805708724,48.3601034019],[7.4908877,48.3601034019]]]}",Site,fr,defer
Wallanlagen_Karlsruhe,Loup Bernard - Günther Wieland,"Enceintes, site de hauteur, Baden-Württemberg, Karlsruhe",2016-09-15 12:01,2016-09-13 01:04,CC-BY-NC-SA,-6500,2016,195,51,Ouvrage,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[8.25688881660846,48.4081402746009],[8.25688881660846,49.4713629754042],[9.31201402456889,49.4713629754042],[9.31201402456889,48.4081402746009],[8.25688881660846,48.4081402746009]]]}",Site,fr,"Enceintes pré- et protohistoriques de la région de Karlsruhe. Transcription de l'ouvrage :
Christoph Morrissey, Dieter Müller mit Beiträgen von Günther Wieland
Vor- und frühgeschichtliche Befestigungen 27. Wallanlagen im Regierungsbezirk Karlsruhe
ISBN: 978-3-8062-2790-1"
Suisse_habitats_Carrard,Loup Bernard - Frédéric Carrard,Suisse Habitats La Tène,2016-09-15 11:53,2016-09-14 19:02,CC-BY-NC,-800,449,261,244,Recherche,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[5.9936,45.893695],[5.9936,47.57524],[8.2480461003,47.57524],[8.2480461003,45.893695],[5.9936,45.893695]]]}",Site,fr,Sites (et plus particulièrement habitats) du second âge du Fer en Suisse (base de données de Fr. Carrard).
Hoffmann_2007,Charlène Morel,"Inventaire, Allemagne",2016-09-07 13:17,2016-09-07 13:12,CC-BY-NC-SA,-6500,2016,428,254,Ouvrage,Terminée,Monde,"{""type"":""Polygon"",""coordinates"":[[[8.005,48.671111],[8.005,48.951389],[8.385556,48.951389],[8.385556,48.671111],[8.005,48.671111]]]}",Site,fr,"G. Hoffmann, Spuren Früher Zeiten, Funde und Fundstatten im Landkreis Rastatt, Verlag Regionalkultur, 2007."
Epaves,Philippe Jullien,Embarcation épaves mer lac riviere,2016-09-06 17:41,2016-09-06 17:32,CC-BY-NC,-300,1600,1063,1062,Inventaire,En cours,Haute mer,"{""type"":""Polygon"",""coordinates"":[[[-16,15.515],[-16,59.583],[40,59.583],[40,15.515],[-16,15.515]]]}",Site,fr,des Embarcation épaves dans la mer lac riviere dans le monde entier.
Funde und Fundstatten im Landkreis Rastatt,Loup Bernard,Prospection diachronie Rastatt,2016-08-20 16:56,2016-07-04 21:01,CC-BY-NC-SA,-6500,2016,383,254,Ouvrage,Terminée,Pays,"{""type"":""Polygon"",""coordinates"":[[[8.005,48.671112],[8.005,48.95139],[8.385556,48.95139],[8.385556,48.671112],[8.005,48.671112]]]}",Site,fr,"transcription de l'ouvrage :
G. Hoffmann, Spuren Früher Zeiten, Funde und Fundstatten im Landkreis Rastatt, Verlag Regionalkultur, 2007.
prospections, découvertes et sites dans le canton de Rastatt (BdW)"
L_Valdes,Eneko Hiriart,Habitat âge du Fer péninsule ibérique,2016-07-06 11:14,2016-07-06 10:56,CC-BY-NC,-1800,1492,55,43,Recherche,En cours,Pays,"{""type"":""Polygon"",""coordinates"":[[[-3.10140842761652,42.5625521755525],[-3.10140842761652,43.3213158362869],[-1.86242029466094,43.3213158362869],[-1.86242029466094,42.5625521755525],[-3.10140842761652,42.5625521755525]]]}",Site,es,sites de hauteur de l'âge du Fer en pays Basque
